SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
6063111,23.7367685,-99.0996342,Auto,2020,DICIEMBRE,11,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7367685,-99.0996342,AUTO,False
6063114,22.2768423,-97.8366249,Auto,2020,DICIEMBRE,12,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2768423,-97.8366249,AUTO,False
6062947,22.2676322,-97.8569280,Auto,2020,DICIEMBRE,15,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2676322,-97.856928,AUTO,False
6061343,22.2286651,-97.8654678,Auto,2020,DICIEMBRE,16,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2286651,-97.8654678,AUTO,False
6061361,22.2939502,-97.8579923,Auto,2020,DICIEMBRE,18,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2939502,-97.8579923,AUTO,False
6062863,23.7535997,-99.1498665,Auto,2020,DICIEMBRE,12,TAMAULIPAS,VICTORIA,Seguridad_Vial_concatenado_Diciembre_2020.csv,23.7535997,-99.1498665,AUTO,False
6064264,22.2830446,-97.8679407,Auto,2020,DICIEMBRE,15,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2830446,-97.8679407,AUTO,False
6064457,22.2159766,-97.8550424,Auto,2020,DICIEMBRE,17,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2159766,-97.8550424,AUTO,False
6064478,22.2131398,-97.8603788,CamiÃ³n,2020,DICIEMBRE,19,TAMAULIPAS,TAMPICO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2131398,-97.8603788,CAMIA3N,False
6064740,22.2758706,-97.8462499,Auto,2020,DICIEMBRE,21,TAMAULIPAS,CIUDAD MADERO,Seguridad_Vial_concatenado_Diciembre_2020.csv,22.2758706,-97.8462499,AUTO,False
